排名,片名,评分,评价人数,导演,主演,简介,年份,类型,片长,IMDb,链接
58,狮子王,9.1,961956,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,,1995,动画/歌舞/冒险,89 分钟,tt0110357,https://movie.douban.com/subject/1301753/
59,天堂电影院,9.2,742156,朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷 Philipp...,,2021,剧情/爱情,173分钟(导演剪辑版),tt0095765,https://movie.douban.com/subject/1291828/
60,饮食男女,9.2,726445,李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,,1994,剧情/家庭,124分钟,tt0111797,https://movie.douban.com/subject/1291818/
61,辩护人,9.2,658708,杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,电影的现实意义大过电影本身。,2013,剧情,127分钟,tt3404140,https://movie.douban.com/subject/21937445/
62,本杰明·巴顿奇事,9.0,1106393,大卫·芬奇 David Fincher,布拉德·皮特 Brad Pitt / 凯特·布...,在时间之河里感受溺水之苦。,2008,剧情/爱情/奇幻,166分钟,tt0421715,https://movie.douban.com/subject/1485260/
63,搏击俱乐部,9.0,977115,大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton / 布拉...,,1999,剧情/动作/悬疑/惊悚,139 分钟,tt0137523,https://movie.douban.com/subject/1292000/
64,美丽心灵,9.1,854378,朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈...,,2001,剧情/传记,135分钟,tt0268978,https://movie.douban.com/subject/1306029/
65,穿条纹睡衣的男孩,9.2,642653,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ...,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,2008,剧情/战争,94分钟,tt0914798,https://movie.douban.com/subject/3008247/
66,哈利·波特与死亡圣器(下),9.0,972218,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,10年的完美句点。,2011,奇幻/冒险,130分钟,tt1201607,https://movie.douban.com/subject/3011235/
67,情书,8.9,1327727,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,,1999,剧情/爱情,117分钟,tt0113703,https://movie.douban.com/subject/1292220/
68,两杆大烟枪,9.1,678983,盖·里奇 Guy Ritchie,杰森·弗莱明 Jason Flemyng / 德克斯特...,,1998,剧情/喜剧/犯罪,107分钟,tt0120735,https://movie.douban.com/subject/1293350/
69,窃听风暴,9.2,632859,"弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...
                            2006 / 德国 / 剧情 悬疑",,别样人生。,2006,剧情/悬疑,137分钟,tt0405094,https://movie.douban.com/subject/1900841/
70,音乐之声,9.1,685235,罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews / 克...,,1965,剧情/爱情/歌舞/传记,174分钟,tt0059742,https://movie.douban.com/subject/1294408/
71,功夫,8.9,1338592,周星驰 Stephen Chow,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,2004,喜剧/动作/犯罪/奇幻,100分钟(3D重映),tt0373074,https://movie.douban.com/subject/1291543/
72,哈利·波特与阿兹卡班的囚徒,9.0,892757,阿方索·卡隆 Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Rad...,不一样的导演，不一样的哈利·波特。,2004,奇幻/冒险,141分钟,tt0304141,https://movie.douban.com/subject/1291544/
73,阿凡达,8.8,1588177,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,绝对意义上的美轮美奂。,2010,动作/科幻/冒险,162分钟,tt0499549,https://movie.douban.com/subject/1652587/
74,西西里的美丽传说,8.9,1094819,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,,2000,剧情/情色/战争,108分钟,tt0213847,https://movie.douban.com/subject/1292402/
75,看不见的客人,8.8,1443212,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿...,你以为你以为的就是你以为的。,2017,剧情/悬疑/惊悚/犯罪,106分钟,tt4857264,https://movie.douban.com/subject/26580232/
76,拯救大兵瑞恩,9.1,726209,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,,1998,剧情/战争,169分钟,tt0120815,https://movie.douban.com/subject/1292849/
77,沉默的羔羊,8.9,1018083,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安...,,1991,剧情/惊悚/犯罪,118分钟,tt0102926,https://movie.douban.com/subject/1293544/
78,小鞋子,9.2,467129,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉 Mohamma...,,1997,剧情/家庭/儿童,89分钟,tt0118849,https://movie.douban.com/subject/1303021/
79,布达佩斯大饭店,8.9,1087545,韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ...,小清新的故事里注入了大历史的情怀。,2014,剧情/喜剧/冒险,99分钟,tt2278388,https://movie.douban.com/subject/11525673/
80,蝴蝶效应,8.9,1070193,"埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...
                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚",,人的命运被自己瞬间的抉择改变。,2004,剧情/科幻/悬疑/惊悚,113分钟,tt0289879,https://movie.douban.com/subject/1292343/
81,飞越疯人院,9.1,605293,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森 Jack Nichols...,,1975,剧情,133分钟,tt0073486,https://movie.douban.com/subject/1292224/
82,还有明天,9.3,374242,宝拉·柯特莱西 Paola Cortellesi,宝拉·柯特莱西 Paola Corte...,,2025,剧情/喜剧/历史,118分钟,tt21800162,https://movie.douban.com/subject/36445098/
83,禁闭岛,8.9,1116096,Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,昔日翩翩少年，今日大腹便便。,2010,剧情/悬疑/惊悚,138分钟,tt1130884,https://movie.douban.com/subject/2334904/
84,心灵捕手,9.0,816843,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon / 罗宾·...,,1997,剧情,126分钟,tt0119217,https://movie.douban.com/subject/1292656/
85,致命魔术,8.9,966008,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman...,孪生蝙蝠侠大战克隆金刚狼。,2006,剧情/悬疑/惊悚,130分钟,tt0482571,https://movie.douban.com/subject/1780330/
86,低俗小说,8.9,961805,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra...,,1994,剧情/喜剧/犯罪,154分钟,tt0110912,https://movie.douban.com/subject/1291832/
87,哈利·波特与密室,8.9,919217,Chris Columbus,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,,2003,奇幻/冒险,161分钟,tt0295297,https://movie.douban.com/subject/1296996/
88,超脱,9.0,725206,托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody / 马西...,穷尽一生，我们要学会的，不过是彼此拥抱。,2011,剧情,98分钟,tt1683526,https://movie.douban.com/subject/5322596/
89,一一,9.1,512693,杨德昌 Edward Yang,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,,2017,剧情/爱情/家庭,173分钟,tt0244316,https://movie.douban.com/subject/1292434/
90,喜剧之王,8.8,1098096,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,,1999,剧情/喜剧/爱情,89分钟,tt0188766,https://movie.douban.com/subject/1302425/
91,致命ID,8.9,952246,詹姆斯·曼高德 James Mangold,约翰·库萨克 John Cusack / 雷...,,2003,剧情/悬疑/惊悚,90分钟,tt0309698,https://movie.douban.com/subject/1297192/
92,杀人回忆,8.9,839775,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,,2003,剧情/动作/悬疑/惊悚/犯罪,132分钟,tt0353969,https://movie.douban.com/subject/1300299/
93,摩登时代,9.3,348037,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,,1936,剧情/喜剧/爱情,87分钟,tt0027977,https://movie.douban.com/subject/1294371/
94,春光乍泄,9.0,711078,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,,1997,剧情/爱情/同性,96分钟,tt0118845,https://movie.douban.com/subject/1292679/
95,加勒比海盗,8.8,971286,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普 Johnny Depp / ...,,2003,动作/奇幻/冒险,143 分钟,tt0325980,https://movie.douban.com/subject/1298070/
96,海豚湾,9.3,382983,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯 Louie Psihoyo...,海豚的微笑，是世界上最高明的伪装。,2009,纪录片,92分钟,tt1313104,https://movie.douban.com/subject/3442220/
97,美国往事,9.1,473265,赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗 Robert De Niro ...,,1984,剧情/犯罪,229分钟(导演剪辑版),tt0087843,https://movie.douban.com/subject/1292262/
98,红辣椒,9.0,572402,今敏 Satoshi Kon,林原惠美 Megumi Hayashibara / 江守彻 Toru...,梦的勾结。,2006,科幻/动画/悬疑/惊悚,90 分钟,tt0851578,https://movie.douban.com/subject/1865703/
99,七宗罪,8.8,1065087,大卫·芬奇 David Fincher,摩根·弗里曼 Morgan Freeman / 布...,,1995,剧情/悬疑/惊悚/犯罪,127分钟,tt0114369,https://movie.douban.com/subject/1292223/
100,唐伯虎点秋香,8.8,1227810,李力持 Lik-Chi Lee,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,,1993,喜剧/爱情/古装,102 分钟,tt0108289,https://movie.douban.com/subject/1306249/
101,狩猎,9.1,472491,托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森 Mads Mik...,人言可畏。,2012,剧情,115分钟,tt2106476,https://movie.douban.com/subject/6985810/
102,幽灵公主,8.9,671898,宫崎骏 Hayao Miyazaki,松田洋治 Yôji Matsuda / 石田百合...,,2025,动画/奇幻/冒险,134分钟,tt0119698,https://movie.douban.com/subject/1297359/
103,甜蜜蜜,8.9,676243,陈可辛 Peter Chan,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,,2015,剧情/爱情,118分钟(中国大陆),tt0117905,https://movie.douban.com/subject/1305164/
104,寄生虫,8.8,1552402,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 李善均 Seon-gyun...,,2019,剧情,132分钟,tt6751668,https://movie.douban.com/subject/27010768/
105,天书奇谭,9.2,336920,王树忱 Shuchen Wang / 钱运达 Yunda Qian,丁建华 Jianhua Din...,,1983,动画/奇幻,89分钟,tt6035092,https://movie.douban.com/subject/1428581/
106,蝙蝠侠：黑暗骑士崛起,8.9,816670,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,诺兰就是保证。,2012,剧情/动作/科幻/惊悚/犯罪,165分钟,tt1345836,https://movie.douban.com/subject/3395373/
107,超能陆战队,8.8,1148999,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,Balalala~~~,2015,喜剧/动作/科幻/动画/冒险,102分钟,tt2245084,https://movie.douban.com/subject/11026735/
108,7号房的礼物,8.9,623904,李焕庆 Hwan-kyeong Lee,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,《我是山姆》的《美丽人生》。,2013,剧情/喜剧/家庭,127分钟,tt2659414,https://movie.douban.com/subject/10777687/
109,茶馆,9.5,210757,谢添 Tian Xie,于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,,1982,剧情/历史,118分钟,tt1395030,https://movie.douban.com/subject/1461403/
110,第六感,8.9,641053,M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯 Bruce Wi...,,1999,剧情/悬疑/惊悚,107分钟,tt0167404,https://movie.douban.com/subject/1297630/
111,爱在黎明破晓前,8.8,804942,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,,1995,剧情/爱情,101分钟,tt0112471,https://movie.douban.com/subject/1296339/
112,爱在日落黄昏时,8.9,657030,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004,剧情/爱情,80 分钟,tt0381681,https://movie.douban.com/subject/1291990/
113,被嫌弃的松子的一生,8.8,777132,中岛哲也 Tetsuya Nakashima,中谷美纪 Miki Nakatani / 瑛太 E...,以戏谑来戏谑戏谑。,2006,剧情/歌舞,130 分钟,tt0768120,https://movie.douban.com/subject/1787291/
114,头脑特工队,8.8,810388,"彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...
                            2015 / 美国 / 喜剧 动画 冒险",,愿我们都不用长大，每一座城堡都能永远存在。,2015,喜剧/动画/冒险,95分钟,tt2096673,https://movie.douban.com/subject/10533913/
115,哈利·波特与火焰杯,8.8,805285,迈克·内威尔 Mike Newell,丹尼尔·雷德克里夫 Daniel Radclif...,,2005,悬疑/奇幻/冒险,157分钟,tt0330373,https://movie.douban.com/subject/1309055/
116,未麻的部屋,9.1,427677,今敏 Satoshi Kon,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,,1997,剧情/动画/悬疑/惊悚/犯罪,81分钟,tt0156887,https://movie.douban.com/subject/1395091/
117,重庆森林,8.8,926061,王家卫 Kar Wai Wong,林青霞 Brigitte Lin / 金城武 Takeshi K...,,1994,剧情/爱情,102分钟,tt0109424,https://movie.douban.com/subject/1291999/
118,借东西的小人阿莉埃蒂,8.9,630118,米林宏昌 Hiromasa Yonebayashi,志田未来 Mirai Shida / 神木...,曾经的那段美好会沉淀为一辈子的记忆。,2010,动画/奇幻/冒险,94分钟,tt1568921,https://movie.douban.com/subject/4202302/
119,菊次郎的夏天,8.9,675887,北野武 Takeshi Kitano,北野武 Takeshi Kitano / 关口雄介 Yus...,,2020,剧情/喜剧,121分钟,tt0199683,https://movie.douban.com/subject/1293359/
120,入殓师,8.9,744915,泷田洋二郎 Yôjirô Takita,本木雅弘 Masahiro Motoki / ...,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2021,剧情,130分钟,tt1069238,https://movie.douban.com/subject/2149806/
121,断背山,8.8,785440,李安 Ang Lee,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,每个人心中都有一座断背山。,2005,剧情/爱情/同性/家庭,134分钟,tt0388795,https://movie.douban.com/subject/1418834/
122,剪刀手爱德华,8.7,1123523,蒂姆·波顿 Tim Burton,约翰尼·德普 Johnny Depp / 薇诺娜·...,,1990,剧情/爱情/奇幻,105分钟,tt0099487,https://movie.douban.com/subject/1292370/
123,勇敢的心,8.9,607189,梅尔·吉布森 Mel Gibson,梅尔·吉布森 Mel Gibson / 苏菲·玛...,,1995,剧情/动作/传记/历史/战争,178分钟,tt0112573,https://movie.douban.com/subject/1294639/
124,时空恋旅人,8.8,797123,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格里森 Domhnall Gl...,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013,喜剧/爱情/奇幻,123分钟,tt2194499,https://movie.douban.com/subject/10577869/
125,驯龙高手,8.8,869355,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...,和谐的生活离不开摸头与被摸头。,2010,动画/奇幻/冒险,98分钟,tt0892769,https://movie.douban.com/subject/2353023/
126,消失的爱人,8.7,1077406,大卫·芬奇 David Fincher,本·阿弗莱克 Ben Affleck / 罗莎蒙...,年度最佳date movie。,2014,剧情/悬疑/惊悚/犯罪,149分钟,tt2267998,https://movie.douban.com/subject/21318488/
127,无人知晓,9.1,374307,是枝裕和 Hirokazu Koreeda,柳乐优弥 Yûya Yagira / 北浦爱...,我的平常生活就是他人的幸福。,2004,剧情,141分钟,tt0408664,https://movie.douban.com/subject/1292337/
128,傲慢与偏见,8.7,942283,乔·怀特 Joe Wright,凯拉·奈特莉 Keira Knightley / 马修·...,爱是摈弃傲慢与偏见之后的曙光。,2005,剧情/爱情,129 分钟,tt0414387,https://movie.douban.com/subject/1418200/
129,倩女幽魂,8.8,838490,程小东 Siu-Tung Ching,张国荣 Leslie Cheung / 王祖贤 Joey W...,,2011,爱情/奇幻/武侠/古装,96分钟,tt0093978,https://movie.douban.com/subject/1297447/
130,新世界,8.9,530784,朴勋政 Hoon-jung Park,李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,要做就做得狠一点，这样才能活下去。,2013,剧情/犯罪,135分钟,tt2625030,https://movie.douban.com/subject/10437779/
131,花样年华,8.8,809513,王家卫 Kar Wai Wong,张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,,2000,剧情/爱情,103分钟(导演剪辑版),tt0118694,https://movie.douban.com/subject/1291557/
132,玩具总动员3,8.9,595522,李·昂克里奇 Lee Unkrich,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,跨度十五年的欢乐与泪水。,2010,喜剧/动画/奇幻/冒险,103分钟,tt0435761,https://movie.douban.com/subject/1858711/
133,一个叫欧维的男人决定去死,8.9,572284,汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德 Rolf Lassgård...,惠及一生的美丽。,2015,剧情,116分钟,tt4080728,https://movie.douban.com/subject/26628357/
134,色，戒,8.7,966244,李安 Ang Lee,梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,假戏真情，爱欲深海,2007,剧情/爱情/情色,158分钟,tt0808357,https://movie.douban.com/subject/1828115/
135,完美的世界,9.1,361606,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳 Kevin Cos...,,1993,剧情/犯罪,138分钟,tt0107808,https://movie.douban.com/subject/1300992/
136,怪兽电力公司,8.8,773653,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,,2001,喜剧/动画/儿童/奇幻/冒险,92分钟,tt0198781,https://movie.douban.com/subject/1291579/
137,阳光灿烂的日子,8.8,698298,姜文 Wen Jiang,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,,1995,剧情/爱情,134分钟(中国大陆),tt0111786,https://movie.douban.com/subject/1291875/
138,教父3,9.0,434684,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,,1990,剧情/犯罪,162分钟,tt0099674,https://movie.douban.com/subject/1294240/
139,小森林 夏秋篇,9.0,475412,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,那些静得只能听见呼吸的日子里，你明白孤独即生活。,2014,剧情,111分钟,tt3474600,https://movie.douban.com/subject/25814705/
140,天使爱美丽,8.7,1023464,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图 Audrey Tau...,,2001,剧情/喜剧/爱情,122分钟,tt0211915,https://movie.douban.com/subject/1292215/
141,侧耳倾听,8.9,522654,近藤喜文 Yoshifumi Kondo,本名阳子 Youko Honna / 小林桂树 K...,,1995,剧情/爱情/动画,111分钟,tt0113824,https://movie.douban.com/subject/1297052/
142,哪吒闹海,9.2,309865,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,梁正晖 Zhenghui ...,,1979,动画/奇幻/冒险,62分钟,tt0354770,https://movie.douban.com/subject/1307315/
143,九品芝麻官,8.8,798166,王晶 Jing Wong,周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,,1994,剧情/喜剧/古装,108分钟,tt0110201,https://movie.douban.com/subject/1297518/
144,被解救的姜戈,8.8,695930,昆汀·塔伦蒂诺 Quentin Tarantino,杰米·福克斯 Jamie Foxx /...,热血沸腾，那个低俗、性感的无耻混蛋又来了。,2013,剧情/动作/西部/冒险,163分钟(中国大陆),tt1853728,https://movie.douban.com/subject/6307447/
145,请以你的名字呼唤我,8.8,828414,卢卡·瓜达尼诺 Luca Guadagnino,艾米·汉莫 Armie Hammer / ...,沉醉在电影的情感和视听氛围中无法自拔。,2017,剧情/爱情/同性,132分钟,tt5726616,https://movie.douban.com/subject/26799731/
146,幸福终点站,8.8,645108,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,有时候幸福需要等一等。,2005,剧情/喜剧/爱情,128分钟,tt0362227,https://movie.douban.com/subject/1292274/
147,釜山行,8.6,1355646,延尚昊 Sang-ho Yeon,孔刘 Yoo Gong / 郑有美 Yu-mi Jung / 马...,揭露人性的丧尸题材力作。,2016,动作/惊悚/灾难,118分钟,tt5700672,https://movie.douban.com/subject/25986180/
148,神偷奶爸,8.7,1050726,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,...,Mr. I Don't Care其实也有Care的时候。,2010,喜剧/动画/冒险,95分钟,tt1323594,https://movie.douban.com/subject/3287562/
149,小森林 冬春篇,9.0,422391,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,2015,剧情,120分钟,tt3474602,https://movie.douban.com/subject/25814707/
150,喜宴,9.0,434414,李安 Ang Lee,赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,,1993,剧情/喜剧/爱情/同性/家庭,108分钟,tt0107156,https://movie.douban.com/subject/1303037/
151,萤火之森,8.8,614200,大森贵弘 Takahiro Omori,佐仓绫音 Ayane Sakura / 内山昂辉 K...,触不到的恋人。,2011,剧情/爱情/动画/奇幻,45分钟,tt2061702,https://movie.douban.com/subject/5989818/
152,告白,8.8,746738,中岛哲也 Tetsuya Nakashima,松隆子 Takako Matsu / 冈田将生 ...,没有一人完全善，也没有一人完全恶。,2010,剧情/悬疑,106分钟,tt1590089,https://movie.douban.com/subject/4268598/
153,玛丽和麦克斯,9.0,472735,亚当·艾略特 Adam Elliot,托妮·科莱特 Toni Collette / 菲利...,你是我最好的朋友，你是我唯一的朋友 。,2025,剧情/喜剧/动画,90分钟(中国大陆),tt0978762,https://movie.douban.com/subject/3072124/
154,七武士,9.3,237220,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 志村乔 ...,,1954,剧情/动作/冒险,207分钟,tt0047478,https://movie.douban.com/subject/1295399/
155,头号玩家,8.6,1522780,史蒂文·斯皮尔伯格 Steven Spielberg,泰伊·谢里丹 Tye Sheri...,写给影迷，动漫迷和游戏迷的一封情书。,2018,动作/科幻/冒险,140分钟,tt1677720,https://movie.douban.com/subject/4920389/
156,模仿游戏,8.8,722899,莫滕·泰杜姆 Morten Tyldum,本尼迪克特·康伯巴奇 Benedict C...,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,2015,剧情/同性/传记/战争,114分钟,tt2084970,https://movie.douban.com/subject/10463953/
157,惊魂记,9.0,358745,阿尔弗雷德·希区柯克 Alfred Hitchcock,安东尼·博金斯 Antho...,,1960,悬疑/惊悚/恐怖,109分钟,tt0054215,https://movie.douban.com/subject/1293181/
158,大鱼,8.8,629354,蒂姆·波顿 Tim Burton,伊万·麦克格雷格 Ewan McGregor / 阿...,,2003,剧情/爱情/奇幻/冒险,125分钟,tt0319061,https://movie.douban.com/subject/1291545/
159,机器人之梦,9.1,444654,巴勃罗·贝格尔 Pablo Berger,伊万·拉班达 Ivan Labanda,,2024,剧情/动画/音乐,102分钟,tt13429870,https://movie.douban.com/subject/35426925/
160,心灵奇旅,8.7,1148920,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,杰米·...,,2020,动画/音乐/奇幻,100分钟,tt2948372,https://movie.douban.com/subject/24733428/
161,背靠背，脸对脸,9.5,181577,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,牛振华 Zhenhua N...,,1994,剧情,148分钟,tt0109235,https://movie.douban.com/subject/1307856/
162,血战钢锯岭,8.7,862792,梅尔·吉布森 Mel Gibson,安德鲁·加菲尔德 Andrew Garfield /...,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,2016,剧情/传记/历史/战争,139分钟(中国大陆),tt2119532,https://movie.douban.com/subject/26325320/
163,射雕英雄传之东成西就,8.7,720612,刘镇伟 Jeffrey Lau,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,,1993,喜剧/奇幻/武侠/古装,113分钟(香港),tt0108074,https://movie.douban.com/subject/1316510/
164,你的名字。,8.5,1599901,新海诚 Makoto Shinkai,神木隆之介 Ryûnosuke Kamiki / 上...,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,2016,剧情/爱情/动画,106分钟,tt5311514,https://movie.douban.com/subject/26683290/
165,我是山姆,9.0,378450,杰茜·尼尔森 Jessie Nelson,Sean Penn / Dakota Fanning / Mi...,,2001,剧情/家庭,132 分钟,tt0277027,https://movie.douban.com/subject/1306861/
166,阳光姐妹淘,8.8,640898,姜炯哲 Hyeong-Cheol Kang,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,再多各自牛逼的时光，也比不上一起傻逼的岁月。,2011,剧情/喜剧,124分钟,tt1937339,https://movie.douban.com/subject/4917726/
167,恐怖直播,8.7,731396,金秉祐 Byeong-woo Kim,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,恐怖分子的“秋菊打官司”。,2013,剧情/悬疑/犯罪,97分钟,tt2990738,https://movie.douban.com/subject/21360417/
168,黑客帝国3：矩阵革命,8.8,499580,"拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...
                            2003 / 美国 / 动作 科幻",,,2003,动作/科幻,129 分钟,tt0242653,https://movie.douban.com/subject/1302467/
169,末路狂花,9.0,352687,雷德利·斯科特 Ridley Scott,吉娜·戴维斯 Geena Davis / 苏...,,1991,剧情/惊悚/犯罪,130 分钟,tt0103074,https://movie.douban.com/subject/1291992/
170,高山下的花环,9.5,161402,谢晋 Jin Xie,吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,,1984,剧情/战争,146分钟,tt0090340,https://movie.douban.com/subject/1422283/
171,小丑,8.7,1129192,托德·菲利普斯 Todd Phillips,杰昆·菲尼克斯 Joaquin Phoeni...,,2019,剧情/惊悚/犯罪,122分钟,tt7286456,https://movie.douban.com/subject/27119724/
172,谍影重重3,8.9,473415,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,像吃了苏打饼一样干脆的电影。,2007,动作/悬疑/惊悚,115分钟,tt0440963,https://movie.douban.com/subject/1578507/
173,三块广告牌,8.7,924014,马丁·麦克唐纳 Martin McDonagh,弗兰西斯·麦克多蒙德 France...,怼天怼地，你走后，她与世界为敌。,2018,剧情/犯罪,115分钟,tt5027774,https://movie.douban.com/subject/26611804/
174,电锯惊魂,8.7,616422,詹姆斯·温 James Wan,雷·沃纳尔 Leigh Whannell / 加利·艾...,真相就在眼前。,2004,悬疑/惊悚/恐怖,103分钟,tt0387564,https://movie.douban.com/subject/1417598/
175,无间道2,8.8,570959,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,陈冠希 Edison Chen / ...,,2003,剧情/惊悚/犯罪,119分钟,tt0369060,https://movie.douban.com/subject/1307106/
176,达拉斯买家俱乐部,8.8,508687,让-马克·瓦雷 Jean-Marc Vallée,马修·麦康纳 Matthew McCon...,Jared Leto的腿比女人还美！,2013,剧情/同性/传记,117分钟,tt0790636,https://movie.douban.com/subject/1793929/
177,疯狂原始人,8.7,925009,"科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...
                            2013 / 美国 / 喜剧 动画 冒险",,老少皆宜，这就是好莱坞动画的魅力。,2013,喜剧/动画/冒险,98分钟,tt0481499,https://movie.douban.com/subject/1907966/
