排名,片名,评分,评价人数,导演,主演,简介,年份,类型,片长,IMDb,链接
221,黑天鹅,8.6,850410,达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔莉·波特曼 Natalie...,黑暗之美。,2010,剧情/惊悚,108分钟,tt0947798,https://movie.douban.com/subject/1978709/
222,新龙门客栈,8.7,513210,李惠民 Raymond Lee,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,,2012,动作/爱情/武侠/古装,103分钟,tt0105859,https://movie.douban.com/subject/1292287/
223,初恋这件小事,8.5,1055394,"普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...
                            2010 / 泰国 / 剧情 喜剧 爱情",,黑小鸭速效美白记。,2012,剧情/喜剧/爱情,118分钟(泰国),tt1859438,https://movie.douban.com/subject/4739952/
224,千钧一发,8.8,353627,安德鲁·尼科尔 Andrew Niccol,伊桑·霍克 Ethan Hawke / 乌玛...,,1997,剧情/科幻/惊悚,106分钟,tt0119177,https://movie.douban.com/subject/1300117/
225,人工智能,8.7,505725,史蒂文·斯皮尔伯格 Steven Spielberg,海利·乔·奥斯蒙 Haley...,,2001,剧情/科幻,146分钟,tt0212720,https://movie.douban.com/subject/1302827/
226,崖上的波妞,8.6,578915,宫崎骏 Hayao Miyazaki,奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,,2020,动画/奇幻/冒险,101分钟,tt0876563,https://movie.douban.com/subject/1959877/
227,雨人,8.7,445030,巴瑞·莱文森 Barry Levinson,达斯汀·霍夫曼 Dustin Hoffman ...,,1988,剧情,133分钟,tt0095953,https://movie.douban.com/subject/1291870/
228,虎口脱险,8.9,298173,杰拉尔·乌里 Gérard Oury,路易·德·菲耐斯 Louis de Funès...,,1966,喜剧/战争,119分钟,tt0060474,https://movie.douban.com/subject/1296909/
229,哈利·波特与凤凰社,8.6,700513,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,,2007,奇幻/冒险,138分钟,tt0373889,https://movie.douban.com/subject/1457217/
230,彗星来的那一夜,8.6,690281,詹姆斯·沃德·布柯特 James Ward Byrkit,艾米丽·芭尔多尼 Em...,小成本大魅力。,2013,科幻/悬疑/惊悚,89分钟,tt2866360,https://movie.douban.com/subject/25807345/
231,罗生门,8.8,360579,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 京町子 ...,,1950,剧情/悬疑/犯罪,88分钟,tt0042876,https://movie.douban.com/subject/1291879/
232,海边的曼彻斯特,8.6,657872,肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克 Casey Affle...,我们都有权利不与自己的过去和解。,2017,剧情/家庭,137分钟,tt4034228,https://movie.douban.com/subject/25980443/
233,恋恋笔记本,8.5,753639,尼克·卡索维茨 Nick Cassavetes,瑞恩·高斯林 Ryan Gosling /...,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,2004,剧情/爱情,123分钟,tt0332280,https://movie.douban.com/subject/1309163/
234,火星救援,8.5,842962,雷德利·斯科特 Ridley Scott,马特·达蒙 Matt Damon / 杰西卡...,,2015,剧情/科幻/冒险,142分钟,tt3659388,https://movie.douban.com/subject/25864085/
235,真爱至上,8.5,811230,理查德·柯蒂斯 Richard Curtis,休·格兰特 Hugh Grant / 连姆...,,2003,剧情/喜剧/爱情,135分钟,tt0314331,https://movie.douban.com/subject/1292401/
236,黑客帝国2：重装上阵,8.7,458185,"拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...
                            2003 / 美国 / 动作 科幻",,,2003,动作/科幻,138分钟,tt0234215,https://movie.douban.com/subject/1304141/
237,冰雪奇缘,8.5,836882,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,克里斯汀...,,2014,喜剧/动画/歌舞/奇幻,102分钟,tt2294629,https://movie.douban.com/subject/4202982/
238,步履不停,8.8,330334,是枝裕和 Hirokazu Koreeda,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,2008,剧情/家庭,115分钟,tt1087578,https://movie.douban.com/subject/2222996/
239,奇迹男孩,8.6,603141,斯蒂芬·卓博斯基 Stephen Chbosky,雅各布·特伦布莱 Jacob Tr...,世界不完美，爱会有奇迹。,2018,剧情/家庭/儿童,113分钟,tt2543472,https://movie.douban.com/subject/26787574/
240,千年女优,8.8,320238,今敏 Satoshi Kon,庄司美代子 Miyoko Shôji / 小山茉美 Mam...,,2001,剧情/爱情/动画,87 分钟,tt0291350,https://movie.douban.com/subject/1307394/
241,谍影重重2,8.7,402310,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,谁说王家卫镜头很晃？,2004,动作/悬疑/惊悚,108分钟,tt0372183,https://movie.douban.com/subject/1308767/
242,战争之王,8.7,417863,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage /...,做一颗让别人需要你的棋子。,2005,剧情/犯罪,122 分钟,tt0399295,https://movie.douban.com/subject/1419936/
243,蜘蛛侠：平行宇宙,8.6,761224,"鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...
                            2018 / 美国 / 动作 科幻 动画 冒险",,,2018,动作/科幻/动画/冒险,116分钟(中国大陆),tt4633694,https://movie.douban.com/subject/26374197/
244,攻壳机动队,9.0,220304,押井守 Mamoru Oshii,田中敦子 Atsuko Tanaka / 大冢明夫 Akio...,,2025,动作/科幻/动画,83分钟,tt0113568,https://movie.douban.com/subject/1291936/
245,血钻,8.7,423998,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥 Leonardo ...,每个美丽事物背后都是滴血的现实。,2006,剧情/惊悚/冒险,143分钟,tt0450259,https://movie.douban.com/subject/1428175/
246,小姐,8.5,581816,朴赞郁 Chan-wook Park,金敏喜 Min-hee Kim / 金泰梨 Tae-ri K...,,2016,剧情/悬疑/情色/同性,145分钟,tt4016934,https://movie.douban.com/subject/25977027/
247,隐藏人物,8.9,275354,特奥多尔·梅尔菲 Theodore Melfi,塔拉吉·P·汉森 Taraji P. ...,,2016,剧情/传记/历史,127分钟,tt4846340,https://movie.douban.com/subject/26615208/
248,血观音,8.6,569336,杨雅喆 Ya-che Yang,惠英红 Kara Wai Ying Hung / 吴可熙 Wu K...,,2017,剧情/悬疑,112分钟,tt7479784,https://movie.douban.com/subject/27113517/
249,魂断蓝桥,8.8,312275,茂文·勒鲁瓦 Mervyn LeRoy,费雯·丽 Vivien Leigh / 罗伯特·...,,1940,剧情/爱情/战争,108分钟,tt0033238,https://movie.douban.com/subject/1293964/
250,房间,8.7,401641,伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森 Brie Larson...,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2015,剧情/家庭,118分钟,tt3170832,https://movie.douban.com/subject/25724855/
